pCO2,cCO2
0.133322,-nan
0.199316,-nan
0.265311,-nan
0.331305,-nan
0.3973,-nan
0.463294,-nan
0.529288,-nan
0.595283,-nan
0.661277,-nan
0.727272,0.0127979
0.793266,0.01311
0.85926,0.0134085
0.925255,0.013695
0.991249,0.0139706
1.05724,0.0142364
1.12324,0.0144931
1.18923,0.0147416
1.25523,0.0149825
1.32122,0.0152162
1.38722,0.0154435
1.45321,0.0156646
1.5192,0.01588
1.5852,0.01609
1.65119,0.016295
1.71719,0.0164953
1.78318,0.016691
1.84918,0.0168825
1.91517,0.01707
1.98116,0.0172536
2.04716,0.0174336
2.11315,0.0176101
2.17915,0.0177834
2.24514,0.0179534
2.31114,0.0181204
2.37713,0.0182845
2.44313,0.0184458
2.50912,0.0186045
2.57511,0.0187606
2.64111,0.0189142
2.7071,0.0190654
2.7731,0.0192143
2.83909,0.019361
2.90509,0.0195056
2.97108,0.0196481
3.03708,0.0197887
3.10307,0.0199272
3.16906,0.020064
3.23506,0.0201989
3.30105,0.020332
3.36705,0.0204635
3.43304,0.0205933
3.49904,0.0207215
3.56503,0.0208481
3.63102,0.0209732
3.69702,0.0210969
3.76301,0.0212191
3.82901,0.0213399
3.895,0.0214594
3.961,0.0215775
4.02699,0.0216943
4.09299,0.0218099
4.15898,0.0219243
4.22497,0.0220375
4.29097,0.0221495
4.35696,0.0222603
4.42296,0.0223701
4.48895,0.0224787
4.55495,0.0225863
4.62094,0.0226929
4.68693,0.0227984
4.75293,0.0229029
4.81892,0.0230065
4.88492,0.0231091
4.95091,0.0232108
5.01691,0.0233115
5.0829,0.0234114
5.1489,0.0235104
5.21489,0.0236085
5.28088,0.0237058
5.34688,0.0238023
5.41287,0.023898
5.47887,0.0239928
5.54486,0.0240869
5.61086,0.0241802
5.67685,0.0242728
5.74285,0.0243646
5.80884,0.0244557
5.87483,0.0245461
5.94083,0.0246358
6.00682,0.0247248
6.07282,0.0248131
6.13881,0.0249008
6.20481,0.0249878
6.2708,0.0250742
6.33679,0.02516
6.40279,0.0252451
6.46878,0.0253296
6.53478,0.0254136
6.60077,0.0254969
6.66677,0.0255796
6.73276,0.0256618
6.79876,0.0257434
6.86475,0.0258245
6.93074,0.025905
6.99674,0.025985
7.06273,0.0260645
7.12873,0.0261434
7.19472,0.0262218
7.26072,0.0262998
7.32671,0.0263772
7.3927,0.0264541
7.4587,0.0265306
7.52469,0.0266065
7.59069,0.026682
7.65668,0.0267571
7.72268,0.0268317
7.78867,0.0269058
7.85467,0.0269795
7.92066,0.0270527
7.98665,0.0271256
8.05265,0.0271979
8.11864,0.0272699
8.18464,0.0273415
8.25063,0.0274126
8.31663,0.0274834
8.38262,0.0275537
8.44862,0.0276236
8.51461,0.0276932
8.5806,0.0277624
8.6466,0.0278312
8.71259,0.0278996
8.77859,0.0279677
8.84458,0.0280353
8.91058,0.0281027
8.97657,0.0281696
9.04256,0.0282363
9.10856,0.0283025
9.17455,0.0283684
9.24055,0.028434
9.30654,0.0284993
9.37254,0.0285642
9.43853,0.0286288
9.50453,0.0286931
9.57052,0.028757
9.63651,0.0288206
9.70251,0.028884
9.7685,0.028947
9.8345,0.0290097
9.90049,0.0290721
9.96649,0.0291342
10.0325,0.029196
10.0985,0.0292575
10.1645,0.0293187
10.2305,0.0293797
10.2965,0.0294403
10.3625,0.0295007
10.4284,0.0295608
10.4944,0.0296206
10.5604,0.0296802
10.6264,0.0297395
10.6924,0.0297985
10.7584,0.0298572
10.8244,0.0299157
10.8904,0.029974
10.9564,0.030032
11.0224,0.0300897
11.0884,0.0301472
11.1544,0.0302044
11.2204,0.0302614
11.2864,0.0303182
11.3524,0.0303747
11.4184,0.030431
11.4844,0.030487
11.5504,0.0305428
11.6163,0.0305984
11.6823,0.0306537
11.7483,0.0307088
11.8143,0.0307637
11.8803,0.0308184
11.9463,0.0308729
12.0123,0.0309271
12.0783,0.0309811
12.1443,0.0310349
12.2103,0.0310885
12.2763,0.0311419
12.3423,0.0311951
12.4083,0.0312481
12.4743,0.0313009
12.5403,0.0313534
12.6063,0.0314058
12.6723,0.031458
12.7383,0.03151
12.8042,0.0315617
12.8702,0.0316133
12.9362,0.0316647
13.0022,0.0317159
13.0682,0.0317669
13.1342,0.0318178
13.2002,0.0318684
13.2662,0.0319189
13.3322,0.0319692
