pO2,SaO2
0,0
0.066661,0.00109995
0.133322,0.00229088
0.199983,0.00358178
0.266644,0.00497984
0.333305,0.0064917
0.399966,0.00812374
0.466627,0.00988223
0.533288,0.0117733
0.599949,0.0138031
0.66661,0.0159776
0.733271,0.0183027
0.799932,0.0207843
0.866593,0.0234281
0.933254,0.0262397
0.999915,0.0292246
1.06658,0.0323881
1.13324,0.0357352
1.1999,0.0392708
1.26656,0.0429995
1.33322,0.0469256
1.39988,0.0510532
1.46654,0.0553858
1.5332,0.059927
1.59986,0.0646795
1.66653,0.0696459
1.73319,0.0748283
1.79985,0.0802284
1.86651,0.0858471
1.93317,0.0916853
1.99983,0.097743
2.06649,0.10402
2.13315,0.110515
2.19981,0.117226
2.26647,0.124152
2.33313,0.13129
2.3998,0.138637
2.46646,0.146188
2.53312,0.153941
2.59978,0.161888
2.66644,0.170027
2.7331,0.178349
2.79976,0.18685
2.86642,0.195522
2.93308,0.204357
2.99975,0.213348
3.06641,0.222488
3.13307,0.231766
3.19973,0.241175
3.26639,0.250706
3.33305,0.260348
3.39971,0.270093
3.46637,0.279931
3.53303,0.289851
3.59969,0.299845
3.66635,0.309901
3.73302,0.320011
3.79968,0.330163
3.86634,0.340348
3.933,0.350556
3.99966,0.360778
4.06632,0.371003
4.13298,0.381224
4.19964,0.39143
4.2663,0.401612
4.33297,0.411762
4.39963,0.421872
4.46629,0.431934
4.53295,0.44194
4.59961,0.451883
4.66627,0.461756
4.73293,0.471552
4.79959,0.481264
4.86625,0.490888
4.93291,0.500417
4.99958,0.509847
5.06624,0.519173
5.1329,0.52839
5.19956,0.537494
5.26622,0.546481
5.33288,0.555349
5.39954,0.564094
5.4662,0.572714
5.53286,0.581206
5.59952,0.589568
5.66619,0.597799
5.73285,0.605897
5.79951,0.613861
5.86617,0.62169
5.93283,0.629384
5.99949,0.636942
6.06615,0.644363
6.13281,0.651648
6.19947,0.658798
6.26613,0.665811
6.33279,0.67269
6.39946,0.679435
6.46612,0.686046
6.53278,0.692526
6.59944,0.698874
6.6661,0.705092
6.73276,0.711181
6.79942,0.717144
6.86608,0.72298
6.93274,0.728694
6.99941,0.734284
7.06607,0.739755
7.13273,0.745106
7.19939,0.750341
7.26605,0.755461
7.33271,0.760468
7.39937,0.765364
7.46603,0.770151
7.53269,0.774831
7.59935,0.779406
7.66601,0.783877
7.73268,0.788248
7.79934,0.792519
7.866,0.796693
7.93266,0.800772
7.99932,0.804758
8.06598,0.808653
8.13264,0.812459
8.1993,0.816177
8.26596,0.81981
8.33263,0.82336
8.39929,0.826828
8.46595,0.830216
8.53261,0.833526
8.59927,0.83676
8.66593,0.83992
8.73259,0.843007
8.79925,0.846023
8.86591,0.848969
8.93257,0.851848
8.99924,0.854661
9.0659,0.85741
9.13256,0.860095
9.19922,0.862719
9.26588,0.865284
9.33254,0.867789
9.3992,0.870238
9.46586,0.872631
9.53252,0.87497
9.59918,0.877256
9.66585,0.87949
9.73251,0.881673
9.79917,0.883808
9.86583,0.885895
9.93249,0.887935
9.99915,0.889929
10.0658,0.891879
10.1325,0.893785
10.1991,0.895649
10.2658,0.897472
10.3325,0.899255
10.3991,0.900999
10.4658,0.902704
10.5324,0.904372
10.5991,0.906003
10.6658,0.9076
10.7324,0.909161
10.7991,0.910689
10.8657,0.912184
10.9324,0.913646
10.9991,0.915078
11.0657,0.916479
11.1324,0.91785
11.199,0.919192
11.2657,0.920505
11.3324,0.921791
11.399,0.92305
11.4657,0.924283
11.5324,0.92549
11.599,0.926672
11.6657,0.92783
11.7323,0.928963
11.799,0.930073
11.8657,0.931161
11.9323,0.932226
11.999,0.93327
12.0656,0.934293
12.1323,0.935295
12.199,0.936276
12.2656,0.937238
12.3323,0.938181
12.3989,0.939106
12.4656,0.940011
12.5323,0.940899
12.5989,0.94177
12.6656,0.942623
12.7323,0.94346
12.7989,0.944281
12.8656,0.945086
12.9322,0.945875
12.9989,0.946649
13.0656,0.947408
13.1322,0.948153
13.1989,0.948883
13.2655,0.9496
13.3322,0.950303
