pO2,SaO2
0,0
0.066661,0.0035481
0.133322,0.00753937
0.199983,0.012021
0.266644,0.01703
0.333305,0.022599
0.399966,0.0287569
0.466627,0.0355292
0.533288,0.0429381
0.599949,0.0510016
0.66661,0.0597337
0.733271,0.0691434
0.799932,0.0792355
0.866593,0.0900091
0.933254,0.101458
0.999915,0.113572
1.06658,0.126333
1.13324,0.139719
1.1999,0.153704
1.26656,0.168255
1.33322,0.183336
1.39988,0.198905
1.46654,0.214919
1.5332,0.23133
1.59986,0.248088
1.66653,0.265143
1.73319,0.282441
1.79985,0.299929
1.86651,0.317555
1.93317,0.335265
1.99983,0.35301
2.06649,0.370739
2.13315,0.388406
2.19981,0.405966
2.26647,0.423378
2.33313,0.440603
2.3998,0.457605
2.46646,0.474353
2.53312,0.490817
2.59978,0.506974
2.66644,0.5228
2.7331,0.538277
2.79976,0.55339
2.86642,0.568125
2.93308,0.582474
2.99975,0.596427
3.06641,0.609982
3.13307,0.623134
3.19973,0.635884
3.26639,0.648231
3.33305,0.660179
3.39971,0.671732
3.46637,0.682895
3.53303,0.693674
3.59969,0.704077
3.66635,0.71411
3.73302,0.723784
3.79968,0.733106
3.86634,0.742086
3.933,0.750734
3.99966,0.75906
4.06632,0.767074
4.13298,0.774786
4.19964,0.782206
4.2663,0.789344
4.33297,0.79621
4.39963,0.802814
4.46629,0.809166
4.53295,0.815274
4.59961,0.821149
4.66627,0.826799
4.73293,0.832233
4.79959,0.837459
4.86625,0.842486
4.93291,0.847322
4.99958,0.851975
5.06624,0.856451
5.1329,0.860759
5.19956,0.864904
5.26622,0.868894
5.33288,0.872735
5.39954,0.876434
5.4662,0.879995
5.53286,0.883426
5.59952,0.88673
5.66619,0.889914
5.73285,0.892982
5.79951,0.89594
5.86617,0.898791
5.93283,0.901541
5.99949,0.904193
6.06615,0.906751
6.13281,0.909219
6.19947,0.911601
6.26613,0.913901
6.33279,0.916121
6.39946,0.918265
6.46612,0.920336
6.53278,0.922337
6.59944,0.924271
6.6661,0.92614
6.73276,0.927947
6.79942,0.929695
6.86608,0.931385
6.93274,0.93302
6.99941,0.934602
7.06607,0.936134
7.13273,0.937617
7.19939,0.939052
7.26605,0.940443
7.33271,0.94179
7.39937,0.943095
7.46603,0.94436
7.53269,0.945586
7.59935,0.946775
7.66601,0.947928
7.73268,0.949046
7.79934,0.950132
7.866,0.951185
7.93266,0.952207
7.99932,0.953199
8.06598,0.954162
8.13264,0.955098
8.1993,0.956007
8.26596,0.95689
8.33263,0.957748
8.39929,0.958582
8.46595,0.959393
8.53261,0.960181
8.59927,0.960948
8.66593,0.961694
8.73259,0.96242
8.79925,0.963126
8.86591,0.963813
8.93257,0.964482
8.99924,0.965134
9.0659,0.965768
9.13256,0.966386
9.19922,0.966988
9.26588,0.967574
9.33254,0.968146
9.3992,0.968702
9.46586,0.969245
9.53252,0.969775
9.59918,0.970291
9.66585,0.970795
9.73251,0.971286
9.79917,0.971765
9.86583,0.972232
9.93249,0.972689
9.99915,0.973134
10.0658,0.973569
10.1325,0.973994
10.1991,0.974408
10.2658,0.974813
10.3325,0.975209
10.3991,0.975596
10.4658,0.975973
10.5324,0.976342
10.5991,0.976703
10.6658,0.977056
10.7324,0.977401
10.7991,0.977738
10.8657,0.978068
10.9324,0.97839
10.9991,0.978706
11.0657,0.979014
11.1324,0.979316
11.199,0.979612
11.2657,0.979901
11.3324,0.980185
11.399,0.980462
11.4657,0.980734
11.5324,0.980999
11.599,0.98126
11.6657,0.981515
11.7323,0.981765
11.799,0.98201
11.8657,0.98225
11.9323,0.982485
11.999,0.982715
12.0656,0.982941
12.1323,0.983162
12.199,0.98338
12.2656,0.983592
12.3323,0.983801
12.3989,0.984006
12.4656,0.984207
12.5323,0.984404
12.5989,0.984597
12.6656,0.984787
12.7323,0.984973
12.7989,0.985156
12.8656,0.985335
12.9322,0.985511
12.9989,0.985684
13.0656,0.985854
13.1322,0.98602
13.1989,0.986184
13.2655,0.986344
13.3322,0.986502
