cCO2,pH
0.006575,9.65947
0.0068,9.29818
0.007025,9.10209
0.00725,8.96626
0.007475,8.86197
0.0077,8.77713
0.007925,8.70549
0.00815,8.64339
0.008375,8.58853
0.0086,8.53932
0.008825,8.49467
0.00905,8.45377
0.009275,8.416
0.0095,8.38088
0.009725,8.34805
0.00995,8.3172
0.010175,8.28809
0.0104,8.26051
0.010625,8.2343
0.01085,8.2093
0.011075,8.18541
0.0113,8.16252
0.011525,8.14053
0.01175,8.11937
0.011975,8.09896
0.0122,8.07925
0.012425,8.06019
0.01265,8.04172
0.012875,8.02379
0.0131,8.00639
0.013325,7.98946
0.01355,7.97297
0.013775,7.95691
0.014,7.94124
0.014225,7.92593
0.01445,7.91098
0.014675,7.89635
0.0149,7.88202
0.015125,7.86799
0.01535,7.85424
0.015575,7.84075
0.0158,7.82751
0.016025,7.8145
0.01625,7.80172
0.016475,7.78915
0.0167,7.77679
0.016925,7.76462
0.01715,7.75263
0.017375,7.74083
0.0176,7.72919
0.017825,7.71771
0.01805,7.70639
0.018275,7.69522
0.0185,7.68419
0.018725,7.6733
0.01895,7.66254
0.019175,7.6519
0.0194,7.64139
0.019625,7.63099
0.01985,7.62071
0.020075,7.61053
0.0203,7.60046
0.020525,7.59048
0.02075,7.58061
0.020975,7.57082
0.0212,7.56113
0.021425,7.55152
0.02165,7.542
0.021875,7.53255
0.0221,7.52319
0.022325,7.5139
0.02255,7.50468
0.022775,7.49553
0.023,7.48646
0.023225,7.47744
0.02345,7.46849
0.023675,7.45961
0.0239,7.45078
0.024125,7.44201
0.02435,7.4333
0.024575,7.42464
0.0248,7.41603
0.025025,7.40748
0.02525,7.39898
0.025475,7.39052
0.0257,7.38211
0.025925,7.37375
0.02615,7.36543
0.026375,7.35715
0.0266,7.34892
0.026825,7.34073
0.02705,7.33257
0.027275,7.32446
0.0275,7.31638
0.027725,7.30834
0.02795,7.30034
0.028175,7.29237
0.0284,7.28443
0.028625,7.27653
0.02885,7.26866
0.029075,7.26082
0.0293,7.25302
0.029525,7.24524
0.02975,7.2375
0.029975,7.22978
0.0302,7.22209
0.030425,7.21444
0.03065,7.20681
0.030875,7.1992
0.0311,7.19163
0.031325,7.18408
0.03155,7.17655
0.031775,7.16905
0.032,7.16158
0.032225,7.15413
0.03245,7.14671
0.032675,7.13931
0.0329,7.13194
0.033125,7.12459
0.03335,7.11726
0.033575,7.10996
0.0338,7.10269
0.034025,7.09543
0.03425,7.0882
0.034475,7.08099
0.0347,7.07381
0.034925,7.06665
0.03515,7.05951
0.035375,7.0524
0.0356,7.04531
0.035825,7.03824
0.03605,7.0312
0.036275,7.02418
0.0365,7.01718
0.036725,7.01021
0.03695,7.00326
0.037175,6.99634
0.0374,6.98944
0.037625,6.98256
0.03785,6.97571
0.038075,6.96888
0.0383,6.96208
0.038525,6.9553
0.03875,6.94854
0.038975,6.94182
0.0392,6.93511
0.039425,6.92844
0.03965,6.92178
0.039875,6.91516
0.0401,6.90856
0.040325,6.90199
0.04055,6.89544
0.040775,6.88892
0.041,6.88243
0.041225,6.87597
0.04145,6.86953
0.041675,6.86313
0.0419,6.85675
0.042125,6.85039
0.04235,6.84407
0.042575,6.83778
0.0428,6.83151
0.043025,6.82528
0.04325,6.81907
0.043475,6.8129
0.0437,6.80675
0.043925,6.80063
0.04415,6.79455
0.044375,6.78849
0.0446,6.78247
0.044825,6.77647
0.04505,6.77051
0.045275,6.76458
0.0455,6.75868
0.045725,6.75281
0.04595,6.74697
0.046175,6.74117
0.0464,6.7354
0.046625,6.72965
0.04685,6.72394
0.047075,6.71827
0.0473,6.71262
0.047525,6.70701
0.04775,6.70143
0.047975,6.69588
0.0482,6.69037
0.048425,6.68488
0.04865,6.67943
0.048875,6.67402
0.0491,6.66863
0.049325,6.66328
0.04955,6.65796
0.049775,6.65267
0.05,6.64741
