pO2,pCO2,f1,f2
50,30,-0.00495783,-0.0522312
50,30.2,-0.0050692,-0.0509789
50,30.4,-0.00518048,-0.0497323
50,30.6,-0.00529167,-0.0484914
50,30.8,-0.00540277,-0.0472562
50,31,-0.00551377,-0.0460266
50,31.2,-0.00562469,-0.0448026
50,31.4,-0.00573551,-0.0435841
50,31.6,-0.00584624,-0.0423711
50,31.8,-0.00595688,-0.0411634
50,32,-0.00606741,-0.0399611
50,32.2,-0.00617785,-0.0387641
50,32.4,-0.0062882,-0.0375723
50,32.6,-0.00639844,-0.0363857
50,32.8,-0.00650858,-0.0352043
50,33,-0.00661862,-0.0340279
50,33.2,-0.00672856,-0.0328566
50,33.4,-0.0068384,-0.0316903
50,33.6,-0.00694813,-0.0305289
50,33.8,-0.00705776,-0.0293725
50,34,-0.00716729,-0.0282209
50,34.2,-0.0072767,-0.0270741
50,34.4,-0.00738601,-0.0259321
50,34.6,-0.00749522,-0.0247949
50,34.8,-0.00760431,-0.0236623
50,35,-0.00771329,-0.0225343
50,35.2,-0.00782217,-0.021411
50,35.4,-0.00793093,-0.0202922
50,35.6,-0.00803958,-0.019178
50,35.8,-0.00814812,-0.0180682
50,36,-0.00825654,-0.0169629
50,36.2,-0.00836485,-0.015862
50,36.4,-0.00847305,-0.0147654
50,36.6,-0.00858113,-0.0136732
50,36.8,-0.00868909,-0.0125853
50,37,-0.00879694,-0.0115016
50,37.2,-0.00890467,-0.0104222
50,37.4,-0.00901228,-0.0093469
50,37.6,-0.00911977,-0.00827579
50,37.8,-0.00922714,-0.00720879
50,38,-0.00933439,-0.00614587
50,38.2,-0.00944153,-0.00508701
50,38.4,-0.00954854,-0.00403215
50,38.6,-0.00965542,-0.00298128
50,38.8,-0.00976219,-0.00193436
50,39,-0.00986883,-0.00089135
50,39.2,-0.00997535,0.00014777
50,39.4,-0.0100817,0.00118303
50,39.6,-0.010188,0.00221447
50,39.8,-0.0102942,0.00324212
50,40,-0.0104002,0.004266
50,40.2,-0.0105061,0.00528615
50,40.4,-0.0106118,0.0063026
50,40.6,-0.0107175,0.00731536
50,40.8,-0.010823,0.00832448
50,41,-0.0109284,0.00932998
50,41.2,-0.0110336,0.0103319
50,41.4,-0.0111387,0.0113302
50,41.6,-0.0112437,0.012325
50,41.8,-0.0113486,0.0133163
50,42,-0.0114533,0.0143041
50,42.2,-0.0115579,0.0152885
50,42.4,-0.0116624,0.0162694
50,42.6,-0.0117667,0.0172469
50,42.8,-0.0118709,0.0182211
50,43,-0.011975,0.0191918
50,43.2,-0.0120789,0.0201593
50,43.4,-0.0121827,0.0211234
50,43.6,-0.0122864,0.0220843
50,43.8,-0.0123899,0.0230419
50,44,-0.0124933,0.0239962
50,44.2,-0.0125966,0.0249474
50,44.4,-0.0126997,0.0258953
50,44.6,-0.0128027,0.0268401
50,44.8,-0.0129056,0.0277818
50,45,-0.0130083,0.0287203
50,45.2,-0.0131109,0.0296557
50,45.4,-0.0132133,0.030588
50,45.6,-0.0133156,0.0315173
50,45.8,-0.0134178,0.0324436
50,46,-0.0135198,0.0333668
50,46.2,-0.0136217,0.0342871
50,46.4,-0.0137234,0.0352043
50,46.6,-0.0138251,0.0361186
50,46.8,-0.0139265,0.03703
50,47,-0.0140279,0.0379385
50,47.2,-0.0141291,0.0388441
50,47.4,-0.0142301,0.0397468
50,47.6,-0.014331,0.0406466
50,47.8,-0.0144318,0.0415436
50,48,-0.0145324,0.0424378
50,48.2,-0.0146329,0.0433292
50,48.4,-0.0147333,0.0442178
50,48.6,-0.0148335,0.0451037
50,48.8,-0.0149336,0.0459868
50,49,-0.0150335,0.0468671
50,49.2,-0.0151333,0.0477448
50,49.4,-0.0152329,0.0486198
50,49.6,-0.0153324,0.0494921
50,49.8,-0.0154318,0.0503618
50,50,-0.015531,0.0512288
50,50.2,-0.0156301,0.0520932
50,50.4,-0.015729,0.052955
50,50.6,-0.0158278,0.0538142
50,50.8,-0.0159264,0.0546708
50,51,-0.0160249,0.0555249
50,51.2,-0.0161233,0.0563764
50,51.4,-0.0162215,0.0572254
50,51.6,-0.0163195,0.0580719
50,51.8,-0.0164174,0.0589159
50,52,-0.0165152,0.0597574
50,52.2,-0.0166129,0.0605965
50,52.4,-0.0167103,0.0614331
50,52.6,-0.0168077,0.0622673
50,52.8,-0.0169049,0.0630991
50,53,-0.0170019,0.0639284
50,53.2,-0.0170988,0.0647554
50,53.4,-0.0171956,0.06558
50,53.6,-0.0172922,0.0664023
50,53.8,-0.0173887,0.0672222
50,54,-0.017485,0.0680397
50,54.2,-0.0175812,0.068855
50,54.4,-0.0176772,0.0696679
50,54.6,-0.0177731,0.0704786
50,54.8,-0.0178689,0.0712869
50,55,-0.0179645,0.072093
50,55.2,-0.0180599,0.0728969
50,55.4,-0.0181552,0.0736985
50,55.6,-0.0182504,0.0744979
50,55.8,-0.0183454,0.0752951
50,56,-0.0184403,0.0760901
50,56.2,-0.018535,0.0768829
50,56.4,-0.0186296,0.0776735
50,56.6,-0.018724,0.078462
50,56.8,-0.0188183,0.0792483
50,57,-0.0189124,0.0800325
50,57.2,-0.0190064,0.0808145
50,57.4,-0.0191003,0.0815944
50,57.6,-0.019194,0.0823723
50,57.8,-0.0192875,0.083148
50,58,-0.0193809,0.0839217
50,58.2,-0.0194742,0.0846933
50,58.4,-0.0195673,0.0854629
