pCO2,cCO2
0.133322,-nan
0.199316,-nan
0.265311,-nan
0.331305,-nan
0.3973,-nan
0.463294,-nan
0.529288,-nan
0.595283,-nan
0.661277,-nan
0.727272,0.0127992
0.793266,0.0131113
0.85926,0.0134099
0.925255,0.0136965
0.991249,0.0139722
1.05724,0.0142379
1.12324,0.0144947
1.18923,0.0147432
1.25523,0.0149841
1.32122,0.0152179
1.38722,0.0154452
1.45321,0.0156664
1.5192,0.0158818
1.5852,0.0160919
1.65119,0.0162969
1.71719,0.0164972
1.78318,0.0166929
1.84918,0.0168845
1.91517,0.0170719
1.98116,0.0172556
2.04716,0.0174356
2.11315,0.0176122
2.17915,0.0177854
2.24514,0.0179555
2.31114,0.0181225
2.37713,0.0182866
2.44313,0.018448
2.50912,0.0186066
2.57511,0.0187627
2.64111,0.0189164
2.7071,0.0190676
2.7731,0.0192165
2.83909,0.0193633
2.90509,0.0195079
2.97108,0.0196504
3.03708,0.0197909
3.10307,0.0199295
3.16906,0.0200663
3.23506,0.0202012
3.30105,0.0203344
3.36705,0.0204658
3.43304,0.0205956
3.49904,0.0207239
3.56503,0.0208505
3.63102,0.0209756
3.69702,0.0210993
3.76301,0.0212215
3.82901,0.0213424
3.895,0.0214618
3.961,0.02158
4.02699,0.0216968
4.09299,0.0218124
4.15898,0.0219268
4.22497,0.02204
4.29097,0.022152
4.35696,0.0222629
4.42296,0.0223726
4.48895,0.0224813
4.55495,0.0225889
4.62094,0.0226954
4.68693,0.022801
4.75293,0.0229055
4.81892,0.0230091
4.88492,0.0231117
4.95091,0.0232134
5.01691,0.0233142
5.0829,0.0234141
5.1489,0.0235131
5.21489,0.0236112
5.28088,0.0237085
5.34688,0.023805
5.41287,0.0239006
5.47887,0.0239955
5.54486,0.0240896
5.61086,0.0241829
5.67685,0.0242755
5.74285,0.0243673
5.80884,0.0244584
5.87483,0.0245488
5.94083,0.0246385
6.00682,0.0247276
6.07282,0.0248159
6.13881,0.0249036
6.20481,0.0249906
6.2708,0.025077
6.33679,0.0251628
6.40279,0.0252479
6.46878,0.0253324
6.53478,0.0254164
6.60077,0.0254997
6.66677,0.0255825
6.73276,0.0256647
6.79876,0.0257463
6.86475,0.0258274
6.93074,0.0259079
6.99674,0.0259879
7.06273,0.0260673
7.12873,0.0261463
7.19472,0.0262247
7.26072,0.0263026
7.32671,0.0263801
7.3927,0.026457
7.4587,0.0265335
7.52469,0.0266094
7.59069,0.0266849
7.65668,0.02676
7.72268,0.0268346
7.78867,0.0269087
7.85467,0.0269824
7.92066,0.0270557
7.98665,0.0271285
8.05265,0.0272009
8.11864,0.0272729
8.18464,0.0273444
8.25063,0.0274156
8.31663,0.0274863
8.38262,0.0275567
8.44862,0.0276266
8.51461,0.0276962
8.5806,0.0277654
8.6466,0.0278342
8.71259,0.0279026
8.77859,0.0279706
8.84458,0.0280383
8.91058,0.0281057
8.97657,0.0281726
9.04256,0.0282393
9.10856,0.0283055
9.17455,0.0283715
9.24055,0.0284371
9.30654,0.0285023
9.37254,0.0285672
9.43853,0.0286318
9.50453,0.0286961
9.57052,0.0287601
9.63651,0.0288237
9.70251,0.028887
9.7685,0.02895
9.8345,0.0290127
9.90049,0.0290751
9.96649,0.0291372
10.0325,0.0291991
10.0985,0.0292606
10.1645,0.0293218
10.2305,0.0293827
10.2965,0.0294434
10.3625,0.0295038
10.4284,0.0295639
10.4944,0.0296237
10.5604,0.0296833
10.6264,0.0297426
10.6924,0.0298016
10.7584,0.0298604
10.8244,0.0299189
10.8904,0.0299771
10.9564,0.0300351
11.0224,0.0300928
11.0884,0.0301503
11.1544,0.0302076
11.2204,0.0302645
11.2864,0.0303213
11.3524,0.0303778
11.4184,0.0304341
11.4844,0.0304901
11.5504,0.0305459
11.6163,0.0306015
11.6823,0.0306569
11.7483,0.030712
11.8143,0.0307669
11.8803,0.0308216
11.9463,0.030876
12.0123,0.0309303
12.0783,0.0309843
12.1443,0.0310381
12.2103,0.0310917
12.2763,0.0311451
12.3423,0.0311983
12.4083,0.0312513
12.4743,0.031304
12.5403,0.0313566
12.6063,0.031409
12.6723,0.0314612
12.7383,0.0315131
12.8042,0.0315649
12.8702,0.0316165
12.9362,0.0316679
13.0022,0.0317191
13.0682,0.0317701
13.1342,0.031821
13.2002,0.0318716
13.2662,0.0319221
13.3322,0.0319724
