pO2,SaO2
0,0
0.066661,0.00197421
0.133322,0.00415068
0.199983,0.00655053
0.266644,0.00919076
0.333305,0.012087
0.399966,0.0152539
0.466627,0.0187058
0.533288,0.0224561
0.599949,0.0265177
0.66661,0.0309028
0.733271,0.0356228
0.799932,0.0406882
0.866593,0.0461085
0.933254,0.0518922
0.999915,0.0580465
1.06658,0.0645774
1.13324,0.0714894
1.1999,0.0787857
1.26656,0.0864677
1.33322,0.0945354
1.39988,0.102987
1.46654,0.111819
1.5332,0.121027
1.59986,0.130603
1.66653,0.140538
1.73319,0.150824
1.79985,0.161446
1.86651,0.172393
1.93317,0.183648
1.99983,0.195196
2.06649,0.207018
2.13315,0.219096
2.19981,0.231409
2.26647,0.243937
2.33313,0.256658
2.3998,0.26955
2.46646,0.282591
2.53312,0.295757
2.59978,0.309025
2.66644,0.322373
2.7331,0.335778
2.79976,0.349217
2.86642,0.362669
2.93308,0.376112
2.99975,0.389525
3.06641,0.402889
3.13307,0.416184
3.19973,0.429393
3.26639,0.442498
3.33305,0.455484
3.39971,0.468335
3.46637,0.481038
3.53303,0.49358
3.59969,0.505949
3.66635,0.518135
3.73302,0.530129
3.79968,0.541923
3.86634,0.553508
3.933,0.564879
3.99966,0.57603
4.06632,0.586958
4.13298,0.597658
4.19964,0.608128
4.2663,0.618366
4.33297,0.628371
4.39963,0.638142
4.46629,0.647679
4.53295,0.656984
4.59961,0.666056
4.66627,0.674899
4.73293,0.683513
4.79959,0.691903
4.86625,0.700069
4.93291,0.708016
4.99958,0.715746
5.06624,0.723264
5.1329,0.730574
5.19956,0.737678
5.26622,0.744582
5.33288,0.75129
5.39954,0.757806
5.4662,0.764134
5.53286,0.770279
5.59952,0.776245
5.66619,0.782037
5.73285,0.787659
5.79951,0.793116
5.86617,0.798412
5.93283,0.803552
5.99949,0.80854
6.06615,0.81338
6.13281,0.818076
6.19947,0.822633
6.26613,0.827055
6.33279,0.831346
6.39946,0.835509
6.46612,0.839549
6.53278,0.843469
6.59944,0.847273
6.6661,0.850965
6.73276,0.854547
6.79942,0.858025
6.86608,0.8614
6.93274,0.864676
6.99941,0.867856
7.06607,0.870943
7.13273,0.87394
7.19939,0.876851
7.26605,0.879677
7.33271,0.882421
7.39937,0.885086
7.46603,0.887676
7.53269,0.890191
7.59935,0.892634
7.66601,0.895008
7.73268,0.897315
7.79934,0.899557
7.866,0.901736
7.93266,0.903855
7.99932,0.905914
8.06598,0.907916
8.13264,0.909864
8.1993,0.911757
8.26596,0.913599
8.33263,0.915391
8.39929,0.917134
8.46595,0.91883
8.53261,0.92048
8.59927,0.922087
8.66593,0.92365
8.73259,0.925173
8.79925,0.926655
8.86591,0.928098
8.93257,0.929504
8.99924,0.930873
9.0659,0.932206
9.13256,0.933506
9.19922,0.934772
9.26588,0.936006
9.33254,0.937208
9.3992,0.93838
9.46586,0.939523
9.53252,0.940638
9.59918,0.941724
9.66585,0.942784
9.73251,0.943818
9.79917,0.944826
9.86583,0.94581
9.93249,0.94677
9.99915,0.947707
10.0658,0.948621
10.1325,0.949514
10.1991,0.950385
10.2658,0.951236
10.3325,0.952067
10.3991,0.952879
10.4658,0.953672
10.5324,0.954446
10.5991,0.955202
10.6658,0.955942
10.7324,0.956664
10.7991,0.95737
10.8657,0.95806
10.9324,0.958735
10.9991,0.959395
11.0657,0.96004
11.1324,0.96067
11.199,0.961287
11.2657,0.961891
11.3324,0.962481
11.399,0.963059
11.4657,0.963624
11.5324,0.964177
11.599,0.964718
11.6657,0.965248
11.7323,0.965767
11.799,0.966275
11.8657,0.966772
11.9323,0.967259
11.999,0.967736
12.0656,0.968203
12.1323,0.96866
12.199,0.969108
12.2656,0.969548
12.3323,0.969978
12.3989,0.9704
12.4656,0.970813
12.5323,0.971218
12.5989,0.971615
12.6656,0.972004
12.7323,0.972386
12.7989,0.97276
12.8656,0.973127
12.9322,0.973487
12.9989,0.97384
13.0656,0.974187
13.1322,0.974527
13.1989,0.97486
13.2655,0.975187
13.3322,0.975508
